version,filename,type,role,evidence,availability,evidence_url,view_url,download_url,git_object_id,size_bytes,notes
Legacy 0.1 Alpha,bass.dll x86-64,DLL,BASS audio dependency,Present in official repository and installer manifest,direct-download,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/common-bin/x86-64/bass.dll,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/common-bin/x86-64/bass.dll,825b68e2556e944e53c69f1ea70544471461817a,265728,Third-party dependency in modern Legacy repository
Legacy 0.1 Alpha,libcrypto-1_1.dll x86-32,DLL,OpenSSL cryptographic dependency,Present in official repository and installer manifest,direct-download,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/common-bin/x86-32/libcrypto-1_1.dll,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/common-bin/x86-32/libcrypto-1_1.dll,8e6dbbf41d261efd8fd0e89511dc88d50d4bbaab,2372096,Third-party dependency in modern Legacy repository
Legacy 0.1 Alpha,libcrypto-1_1-x64.dll x86-64,DLL,OpenSSL cryptographic dependency,Present in official repository and installer manifest,direct-download,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/common-bin/x86-64/libcrypto-1_1-x64.dll,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/common-bin/x86-64/libcrypto-1_1-x64.dll,a67e3c7f1c10b49dbb14787fcc1655cb10a7b275,3236864,Third-party dependency in modern Legacy repository
Legacy 0.1 Alpha,libssl-1_1.dll x86-32,DLL,OpenSSL TLS dependency,Present in official repository and installer manifest,direct-download,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/common-bin/x86-32/libssl-1_1.dll,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/common-bin/x86-32/libssl-1_1.dll,9a3fb8dd21e396e8a343dbe4a880ecd9ad5b37a5,706560,Third-party dependency in modern Legacy repository
Legacy 0.1 Alpha,libssl-1_1-x64.dll x86-64,DLL,OpenSSL TLS dependency,Present in official repository and installer manifest,direct-download,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/common-bin/x86-64/libssl-1_1-x64.dll,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/common-bin/x86-64/libssl-1_1-x64.dll,6126540c548db31b9d4ddaaeef8c4da673cb1c6d,916992,Third-party dependency in modern Legacy repository
Legacy 0.1 Alpha,Sub7Viewer.dproj,Delphi project,Viewer project definition,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/Viewer/Sub7Viewer.dproj,https://github.com/DarkCoderSc/SubSeven/blob/main/Viewer/Sub7Viewer.dproj,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Viewer/Sub7Viewer.dproj,,,Safe modern project metadata
Legacy 0.1 Alpha,Sub7Service.dproj,Delphi project,Service project definition,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/Service/Sub7Service.dproj,https://github.com/DarkCoderSc/SubSeven/blob/main/Service/Sub7Service.dproj,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Service/Sub7Service.dproj,,,Safe modern project metadata
Legacy 0.1 Alpha,Sub7ServerTray.dproj,Delphi project,Tray project definition,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/Tray/Sub7ServerTray.dproj,https://github.com/DarkCoderSc/SubSeven/blob/main/Tray/Sub7ServerTray.dproj,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Tray/Sub7ServerTray.dproj,,,Safe modern project metadata
Legacy 0.1 Alpha,Sub7Helper.dproj,Delphi project,Helper project definition,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/Helper/Sub7Helper.dproj,https://github.com/DarkCoderSc/SubSeven/blob/main/Helper/Sub7Helper.dproj,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Helper/Sub7Helper.dproj,,,Safe modern project metadata
Legacy 0.1 Alpha,CertGenerator.dproj,Delphi project,Certificate-generator project definition,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/CertGen/CertGenerator.dproj,https://github.com/DarkCoderSc/SubSeven/blob/main/CertGen/CertGenerator.dproj,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/CertGen/CertGenerator.dproj,,,Safe modern project metadata
Legacy 0.1 Alpha,setup_viewer.iss,Inno Setup,Viewer installer definition and package manifest,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Setup/setup_viewer.iss,,,Safe modern installer source
Legacy 0.1 Alpha,setup_server.iss,Inno Setup,Server installer definition and package manifest,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_server.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_server.iss,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Setup/setup_server.iss,,,Safe modern installer source
