record_id,type,name,size_bytes,mime_type,historical_role,duplicate_group,duplicate_status,public_treatment,notes
local-020,file,web.archive.org-bda1c48231.jpg,11299,image/jpeg,Wayback-related reference screenshot,,canonical,publish-safe,Archive/research visual
local-021,file,web.archive.org-4bd740875f.jpg,11532,image/jpeg,Wayback retry/reference screenshot,img-wayback-4bd,canonical,publish-safe,Sub7.org 2001 archive retry/reference image
local-022,file,web.archive.org-4bd740875f.jpg,11532,image/jpeg,Wayback retry/reference screenshot,img-wayback-4bd,duplicate,publish-safe duplicate record,Duplicate copy retained in inventory
local-023,file,web.archive.org-e47480a787.jpg,10868,image/jpeg,Wayback retry/reference screenshot,img-wayback-e474,canonical,publish-safe,Sub7Crew.org 2001 archive retry/reference image
local-024,file,web.archive.org-e47480a787.jpg,10868,image/jpeg,Wayback retry/reference screenshot,img-wayback-e474,duplicate,publish-safe duplicate record,Duplicate copy retained in inventory
local-025,file,web.archive.org-5cad8207bd.jpg,13361,image/jpeg,Wayback retry/reference screenshot,img-wayback-5cad,canonical,publish-safe,users.otenet.gr Sub7 files/extras 2002 archive retry/reference image
local-026,file,web.archive.org-5cad8207bd.jpg,13361,image/jpeg,Wayback retry/reference screenshot,img-wayback-5cad,duplicate,publish-safe duplicate record,Duplicate copy retained in inventory
local-027,file,gitlab.com-80bbfaea50.png,318505,image/png,Historical source-repository screenshot,img-gitlab-source,canonical,publish-safe,Shows illwill/Sub7 source repository and README provenance claims
local-028,file,gitlab.com-80bbfaea50.jpg,,image/jpeg,Historical source-repository screenshot,img-gitlab-source,alternate/duplicate,publish-safe duplicate record,Alternate-format copy retained in inventory
local-029,file,ss.1.0-enc.rar,545132,application/rar,SubSeven 1.0 encrypted historical release,,canonical,metadata-only,Restricted historical artifact; not redistributed
local-030,file,ss.1.9.Apocalypse-enc.rar,914392,application/rar,SubSeven 1.9 Apocalypse encrypted historical release,pkg-19-apocalypse,canonical,metadata-only,Restricted historical artifact; not redistributed
local-031,file,ss.1.9.Apocalypse-enc 2.rar,914392,application/rar,SubSeven 1.9 Apocalypse encrypted historical release,pkg-19-apocalypse,duplicate,metadata-only,Duplicate archive record retained
local-032,file,ss.2.0-enc.rar,1978683,application/rar,SubSeven 2.0 encrypted historical release,,canonical,metadata-only,Restricted historical artifact; not redistributed
local-033,file,s72.0.rar,,application/rar,Alternate 2.0-era package name,,alternate,metadata-only,Byte identity with other 2.0 archive not assumed
local-034,file,ss.2.1.0-enc.rar,1394230,application/rar,SubSeven 2.1.0 encrypted historical release,pkg-210,canonical,metadata-only,Restricted historical artifact; not redistributed
local-035,file,ss.2.1.0-enc 2.rar,1394230,application/rar,SubSeven 2.1.0 encrypted historical release,pkg-210,duplicate,metadata-only,Duplicate archive record retained
local-036,file,ss.2.1.1-enc.rar,2751465,application/rar,SubSeven 2.1.1 GOLD historical release,,canonical,metadata-only,Restricted historical artifact; not redistributed
local-037,file,ss.2.1.2-enc.rar,1661300,application/rar,SubSeven 2.1.2 M.U.I.E historical release,,canonical,metadata-only,Restricted historical artifact; not redistributed
local-038,file,ss.2.1.3-enc.rar,1429077,application/rar,SubSeven 2.1.3 BONUS historical release,,canonical,metadata-only,Restricted historical artifact; not redistributed
local-039,file,ss.2.1.4-enc.rar,1417607,application/rar,SubSeven 2.1.4 DEFCON 8 historical release,,canonical,metadata-only,Restricted historical artifact; not redistributed
local-040,file,ss.2.2.0-enc.rar,2921188,application/rar,SubSeven 2.2 historical release,,canonical,metadata-only,Restricted historical artifact; raw payload intentionally not redistributed
local-041,file,sub7legends-enc.rar,1339783,application/rar,SubSeven 2.1.5 Legends historical release,pkg-legends,canonical,metadata-only,Restricted historical artifact; not redistributed
local-042,file,sub7legends-enc 2.rar,1339783,application/rar,SubSeven 2.1.5 Legends historical release,pkg-legends,duplicate,metadata-only,Duplicate archive record retained
local-043,file,SubSeven_2.3.rar,,application/rar,SubSeven 2.3 continuation archive,,canonical,metadata-only,Later continuation record; provenance tracked separately
local-044,file,SubSeven And Windows XP.rar,283843,application/rar,Compatibility/tutorial archive,,canonical,metadata-only,Contents require independent verification
local-045,file,Sub7.net Default md5sum values.rar,17361,application/rar,Checksum/reference archive,,canonical,metadata-only,Prefer separately verified text/checksum extraction
local-046,file,Tutorial_Sub7.rar,1254718,application/rar,Historical tutorial archive,,canonical,metadata-only,Operational material not republished
local-047,file,Tutorial_Sub7_2.rar,1530900,application/rar,Historical tutorial archive,,canonical,metadata-only,Operational material not republished
local-048,file,sub7-main.rar,3012065,application/rar,Historical collection/source-related archive,,canonical,metadata-only,Potentially weaponized contents not mirrored
local-049,file,sub7_1_9.zip,1299523,application/zip,SubSeven 1.9 historical package,,canonical,metadata-only,Restricted historical artifact; not redistributed
local-050,file,subseven20.zip,1035557,application/zip,SubSeven 2.0 historical package,,canonical,metadata-only,Restricted historical artifact; not redistributed
local-051,file,subpass.zip,6319,application/zip,Ancillary historical archive,pkg-subpass,canonical,metadata-only,Contents not independently verified
local-052,file,subpass 2.zip,6319,application/zip,Ancillary historical archive,pkg-subpass,duplicate,metadata-only,Duplicate record retained
local-053,file,subuster.zip,29663,application/zip,Ancillary historical archive,,canonical,metadata-only,Contents not independently verified
