id,branch_or_version,category,hosting_status,repository_path,image_url,source_page,description,confidence
mm-13,1.3,controller,external-source-page,,,https://www.malware.museum/release/subseven/13/,SubSeven 1.3 release page; direct screenshot media URL still to be indexed,medium
mm-14,1.4,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/653aa774-8bfc-41f8-9daa-9f3fcc7ffce6.png,https://www.malware.museum/release/subseven/14/,SubSeven 1.4 release screenshot,high
mm-15,1.5,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/944b48e2-51ef-4ab8-a1d5-b1ab6ac2dbd8.png,https://www.malware.museum/release/subseven/15/,SubSeven 1.5 release screenshot,high
mm-16,1.6,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/f42cf4a5-2c75-4411-9f91-98fa5b3e4826.png,https://www.malware.museum/release/subseven/16/,SubSeven 1.6 release screenshot,high
mm-17,1.7,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/6bac5ab1-bcd9-45c0-b28b-24460199115d.png,https://www.malware.museum/release/subseven/17/,SubSeven 1.7 release screenshot,high
mm-18,1.8,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/4bac3aaf-aa7f-4c88-9b4b-007d56cfb876.png,https://www.malware.museum/release/subseven/18/,SubSeven 1.8 release screenshot,high
mm-19,1.9,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/7b2fa162-cb61-4064-b49b-712333a85120.png,https://www.malware.museum/release/subseven/19/,SubSeven 1.9 release screenshot,high
mm-apocalypse,1.9 Apocalypse,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/29a118fa-f50f-40d0-968b-9c0514cf756f.png,https://www.malware.museum/release/subseven/19-apocalypse/,SubSeven 1.9 Apocalypse release screenshot,high
mm-20,2.0,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/901ccef7-7e00-4264-8b40-9556c68b9460.png,https://www.malware.museum/release/subseven/20/,SubSeven 2.0 release screenshot,high
mm-21,2.1,controller,external-source-page,,,https://www.malware.museum/release/subseven/21/,SubSeven 2.1 release page with screenshot; direct media URL still to be indexed,high
mm-211,2.1.1 GOLD,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/4bd4ff32-7029-48dd-8b14-b0cee7031b2f.png,https://www.malware.museum/release/subseven/211-gold-edition/,SubSeven 2.1.1 GOLD release screenshot,high
mm-212,2.1.2 M.U.I.E,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/1c037701-4805-43cd-98c2-8fab9e28acf4.png,https://www.malware.museum/release/subseven/212-muie/,SubSeven 2.1.2 M.U.I.E release screenshot,high
mm-213,2.1.3 BONUS,controller,external-source-page,,,https://www.malware.museum/release/subseven/213-bonus/,SubSeven 2.1.3 BONUS release page with screenshot; direct media URL still to be indexed,high
mm-214,2.1.4 DEFCON 8,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/9c7f1a88-37c0-469f-a589-338bb553746d.png,https://www.malware.museum/release/subseven/214-defcon-8/,SubSeven 2.1.4 DEFCON 8 release screenshot,high
mm-22,2.2,controller,external-source,,https://www.malware.museum/media/resources/2024/03/12/910392e5-f67f-489b-8b6e-17adc0290ff4.png,https://www.malware.museum/release/subseven/22/,SubSeven 2.2 release screenshot,high
mm-legends,2.1.5 Legends,controller,external-source,,https://www.malware.museum/media/resources/2026/04/05/a25a3e21-01fb-43b4-8ac2-fb54249d8986.png,https://www.malware.museum/release/subseven/215-legends/,SubSeven 2.1.5 Legends release screenshot,high
retrospective-23,2.3 continuation,controller,external-retrospective,,https://cdn-images-1.readmedium.com/v2/resize:fit:800/1*JZ5DDArC797B4plefJ-BqQ.png,https://readmedium.com/a-malware-retrospective-subseven-d86fed0c88bf,Retrospective image captioned SubSeven 2.3.2010 Reborn by Read101 and fc; not an original 2010 archive capture,medium
commons-readme,2.2,documentation,external-source,,https://upload.wikimedia.org/wikipedia/commons/e/e7/Sub7_readme_screenshot.png,https://commons.wikimedia.org/wiki/File:Sub7_readme_screenshot.png,SubSeven 2.2 README screenshot,high
legacy-main,Legacy,viewer,external-source,,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Assets/screenshots/main.png,https://github.com/DarkCoderSc/SubSeven,Modern Legacy main viewer,high
legacy-key,Legacy,certificate,external-source,,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Assets/screenshots/main-key.png,https://github.com/DarkCoderSc/SubSeven,Modern Legacy certificate/key information,high
legacy-terminal,Legacy,terminal,external-source,,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Assets/screenshots/terminal.png,https://github.com/DarkCoderSc/SubSeven,Modern Legacy remote terminal,high
legacy-files,Legacy,file-manager,external-source,,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Assets/screenshots/files.png,https://github.com/DarkCoderSc/SubSeven,Modern Legacy file manager,high
legacy-process,Legacy,process-manager,external-source,,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Assets/screenshots/process.png,https://github.com/DarkCoderSc/SubSeven,Modern Legacy process manager,high
legacy-features,Legacy,feature-overview,external-source,,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Assets/screenshots/features.png,https://github.com/DarkCoderSc/SubSeven,Modern Legacy feature overview,high
